"year","ANZ","CAM","CAN","CHI","EEU","FSU","JPK","LAM","MAF","MDE","SAS","SEA","SIS","SSA","USA","WEU"
2028,1.95000034279534,3.74068599509053,1.50775858416798,7.38413091032301,3.63124930172061,5.14978977411297,2.57539932395099,4.03136183380358,5.33713859883519,3.69115714580668,6.72908912895161,5.49664594299217,3.90061592499472,5.77341280406203,2.0097225167408,1.75313943177216
2029,2.00630851202477,3.8986606145734,1.60231626066263,7.2179692304314,3.65507640900594,5.20315493989584,2.61523046395304,4.132042461834,5.43950386513874,3.794864039386,6.82640403643562,5.57541594021725,4.01976813374036,6.00362047737744,2.00075359274472,1.81890738788938
2030,2.0626166812542,4.05663523405626,1.69687393715727,7.0518075505398,3.67890351629128,5.25652010567872,2.65506160395508,4.23272308986442,5.5418691314423,3.89857093296533,6.92371894391963,5.65418593744234,4.138920342486,6.23382815069284,1.99178466874863,1.8846753440066
2031,2.09912072241279,4.11911166047378,1.80371852361318,6.78636791587336,3.64485411992367,5.18007459248183,2.64243646857174,4.26349414760151,5.52873289075981,3.90972926639094,6.90724518721858,5.64504570615741,4.18283625602939,6.33687051589371,1.96611042310015,1.92758576435982
2032,2.13562476357138,4.18158808689129,1.91056311006908,6.52092828120692,3.61080472355606,5.10362907928494,2.6298113331884,4.29426520533859,5.51559665007733,3.92088759981656,6.89077143051753,5.63590547487248,4.22675216957279,6.43991288109457,1.94043617745168,1.97049618471305
2033,2.17212880472997,4.24406451330881,2.01740769652498,6.25548864654048,3.57675532718845,5.02718356608805,2.61718619780507,4.32503626307568,5.50246040939484,3.93204593324218,6.87429767381648,5.62676524358755,4.27066808311619,6.54295524629543,1.9147619318032,2.01340660506627
2034,2.20863284588856,4.30654093972632,2.12425228298089,5.99004901187404,3.54270593082084,4.95073805289116,2.60456106242173,4.35580732081277,5.48932416871235,3.94320426666779,6.85782391711543,5.61762501230263,4.31458399665959,6.64599761149629,1.88908768615472,2.05631702541949
2035,2.24513688704715,4.36901736614383,2.23109686943679,5.7246093772076,3.50865653445323,4.87429253969427,2.59193592703839,4.38657837854985,5.47618792802986,3.95436260009341,6.84135016041438,5.6084847810177,4.35849991020298,6.74903997669716,1.86341344050625,2.09922744577271
2036,2.22820059037266,4.31589565617995,2.24097229963049,5.44960003463226,3.40845729274657,4.68634269053025,2.5324447618175,4.3208107782671,5.36023336021925,3.88039074898455,6.70192714422193,5.5052607750801,4.31780934356706,6.7139304335643,1.8117102005594,2.09493725833389
2037,2.21126429369817,4.26277394621607,2.25084772982418,5.17459069205692,3.30825805103991,4.49839284136623,2.47295359659661,4.25504317798435,5.24427879240863,3.80641889787569,6.56250412802948,5.40203676914251,4.27711877693113,6.67882089043144,1.76000696061255,2.09064707089507
2038,2.19432799702367,4.20965223625219,2.26072316001788,4.89958134948157,3.20805880933325,4.31044299220221,2.41346243137572,4.18927557770159,5.12832422459801,3.73244704676683,6.42308111183703,5.29881276320491,4.2364282102952,6.64371134729858,1.70830372066571,2.08635688345625
2039,2.17739170034918,4.15653052628831,2.27059859021158,4.62457200690623,3.10785956762659,4.12249314303819,2.35397126615483,4.12350797741884,5.0123696567874,3.65847519565798,6.28365809564457,5.19558875726732,4.19573764365927,6.60860180416571,1.65660048071886,2.08206669601743
2040,2.16045540367469,4.10340881632443,2.28047402040528,4.34956266433089,3.00766032591993,3.93454329387417,2.29448010093394,4.05774037713609,4.89641508897678,3.58450334454912,6.14423507945212,5.09236475132973,4.15504707702334,6.57349226103285,1.60489724077202,2.07777650857861
2041,2.13841543702017,4.05011112737238,2.24520973790697,4.16556993499181,2.91280092882661,3.76160294678515,2.26830402664577,3.98307416096764,4.78183878379082,3.49455528011164,6.00108775742443,4.97908461382474,4.11082987812507,6.51384450113299,1.57156538139497,2.05980956669227
2042,2.11637547036565,3.99681343842034,2.20994545540866,3.98157720565274,2.8179415317333,3.58866259969612,2.2421279523576,3.90840794479919,4.66726247860486,3.40460721567416,5.85794043539674,4.86580447631976,4.0666126792268,6.45419674123312,1.53823352201791,2.04184262480593
2043,2.09433550371114,3.94351574946829,2.17468117291036,3.79758447631366,2.72308213463998,3.41572225260709,2.21595187806943,3.83374172863074,4.5526861734189,3.31465915123669,5.71479311336904,4.75252433881478,4.02239548032853,6.39454898133326,1.50490166264086,2.02387568291958
2044,2.07229553705662,3.89021806051625,2.13941689041205,3.61359174697458,2.62822273754667,3.24278190551807,2.18977580378126,3.75907551246228,4.43810986823294,3.22471108679921,5.57164579134135,4.63924420130979,3.97817828143026,6.33490122143339,1.47156980326381,2.00590874103324
2045,2.0502555704021,3.8369203715642,2.10415260791375,3.42959901763551,2.53336334045335,3.06984155842904,2.16359972949309,3.68440929629383,4.32353356304698,3.13476302236173,5.42849846931366,4.52596406380481,3.93396108253199,6.27525346153353,1.43823794388676,1.9879417991469
2046,2.00639198713187,3.79104970869627,2.04863158232156,3.27591578994552,2.47348019421171,2.9387333976807,2.13411050372196,3.61421687426767,4.22089298573642,3.0519515088396,5.29702010672411,4.42341246360058,3.87905925218004,6.2062246815372,1.40688600728122,1.96553418401136
2047,1.96252840386165,3.74517904582834,1.99311055672938,3.12223256225553,2.41359704797008,2.80762523693236,2.10462127795083,3.54402445224151,4.11825240842586,2.96913999531748,5.16554174413457,4.32086086339635,3.82415742182809,6.13719590154088,1.37553407067568,1.94312656887582
2048,1.91866482059142,3.6993083829604,1.9375895311372,2.96854933456554,2.35371390172844,2.67651707618402,2.07513205217969,3.47383203021534,4.0156118311153,2.88632848179535,5.03406338154502,4.21830926319212,3.76925559147614,6.06816712154456,1.34418213407014,1.92071895374028
2049,1.87480123732119,3.65343772009247,1.88206850554502,2.81486610687554,2.2938307554868,2.54540891543568,2.04564282640856,3.40363960818918,3.91297125380475,2.80351696827322,4.90258501895548,4.11575766298789,3.71435376112419,5.99913834154823,1.31283019746461,1.89831133860474
2050,1.83093765405096,3.60756705722454,1.82654747995283,2.66118287918555,2.23394760924516,2.41430075468734,2.01615360063743,3.33344718616302,3.81033067649419,2.72070545475109,4.77110665636593,4.01320606278366,3.65945193077224,5.93010956155191,1.28147826085907,1.8759037234692
2051,1.81017242240909,3.56143703139222,1.78857649620016,2.54817109397756,2.20462553277421,2.36021018167362,2.00719343402945,3.28325706002128,3.74649271090792,2.67245653551634,4.67222008954392,3.93726491451891,3.61582562035978,5.85890148199646,1.2733081927587,1.87011702144977
2052,1.78940719076723,3.5153070055599,1.75060551244748,2.43515930876956,2.17530345630327,2.3061196086599,1.99823326742147,3.23306693387954,3.68265474532165,2.62420761628159,4.57333352272192,3.86132376625417,3.57219930994733,5.78769340244101,1.26513812465834,1.86433031943034
2053,1.76864195912537,3.46917697972758,1.71263452869481,2.32214752356157,2.14598137983232,2.25202903564618,1.98927310081348,3.1828768077378,3.61881677973538,2.57595869704684,4.47444695589991,3.78538261798942,3.52857299953488,5.71648532288556,1.25696805655797,1.85854361741091
2054,1.7478767274835,3.42304695389526,1.67466354494213,2.20913573835357,2.11665930336137,2.19793846263246,1.9803129342055,3.13268668159606,3.55497881414911,2.52770977781208,4.3755603890779,3.70944146972467,3.48494668912242,5.6452772433301,1.24879798845761,1.85275691539148
2055,1.72711149584164,3.37691692806295,1.63669256118946,2.09612395314558,2.08733722689043,2.14384788961874,1.97135276759752,3.08249655545432,3.49114084856283,2.47946085857733,4.27667382225589,3.63350032145993,3.44132037870997,5.57406916377465,1.24062792035724,1.84697021337206
2056,1.73428245726676,3.33051792993311,1.62826454268221,2.04825219861507,2.09115483261423,2.15163485124668,1.96092078863139,3.04208755660953,3.44946402378296,2.45774355016807,4.19826524626433,3.57282887418195,3.40593799581154,5.50259651920264,1.24382090621885,1.85536621695595
2057,1.74145341869189,3.28411893180327,1.61983652417496,2.00038044408457,2.09497243833804,2.15942181287462,1.95048880966526,3.00167855776473,3.40778719900308,2.4360262417588,4.11985667027277,3.51215742690397,3.37055561291312,5.43112387463062,1.24701389208046,1.86376222053984
2058,1.74862438011701,3.23771993367343,1.61140850566771,1.95250868955406,2.09879004406185,2.16720877450255,1.94005683069913,2.96126955891994,3.3661103742232,2.41430893334953,4.0414480942812,3.45148597962599,3.3351732300147,5.3596512300586,1.25020687794207,1.87215822412373
2059,1.75579534154214,3.1913209355436,1.60298048716046,1.90463693502355,2.10260764978565,2.17499573613049,1.929624851733,2.92086056007515,3.32443354944333,2.39259162494027,3.96303951828964,3.39081453234801,3.29979084711627,5.28817858548658,1.25339986380367,1.88055422770763
2060,1.76296630296726,3.14492193741376,1.59455246865321,1.85676518049305,2.10642525550946,2.18278269775842,1.91919287276687,2.88045156123036,3.28275672466345,2.370874316531,3.88463094229807,3.33014308507003,3.26440846421785,5.21670594091457,1.25659284966528,1.88895023129152
2061,1.77751009062834,3.10345032865754,1.60676270337309,1.82174881893441,2.11682886531281,2.17914582112002,1.91678837855477,2.83783485842095,3.24136203137177,2.35388429751142,3.81545225606155,3.27841106926561,3.22799919851606,5.13918838388737,1.26936921031234,1.89979570596792
2062,1.79205387828942,3.06197871990132,1.61897293809297,1.78673245737578,2.12723247511616,2.17550894448162,1.91438388434268,2.79521815561155,3.19996733808008,2.33689427849184,3.74627356982503,3.2266790534612,3.19158993281427,5.06167082686017,1.28214557095939,1.91064118064431
2063,1.8065976659505,3.0205071111451,1.63118317281285,1.75171609581714,2.13763608491951,2.17187206784322,1.91197939013058,2.75260145280214,3.1585726447884,2.31990425947226,3.67709488358851,3.17494703765679,3.15518066711248,4.98415326983297,1.29492193160644,1.92148665532071
2064,1.82114145361159,2.97903550238888,1.64339340753273,1.71669973425851,2.14803969472286,2.16823519120481,1.90957489591848,2.70998474999273,3.11717795149672,2.30291424045268,3.60791619735199,3.12321502185237,3.11877140141068,4.90663571280578,1.3076982922535,1.93233212999711
2065,1.83568524127267,2.93756389363267,1.65560364225261,1.68168337269987,2.15844330452621,2.16459831456641,1.90717040170638,2.66736804718333,3.07578325820503,2.2859242214331,3.53873751111546,3.07148300604796,3.08236213570889,4.82911815577858,1.32047465290055,1.94317760467351
2066,1.84391041788494,2.89183599461079,1.66799002780042,1.6518980886171,2.15316164786756,2.12996886490988,1.91383079382323,2.62823702792176,3.02042710995239,2.25914682270115,3.47377650823936,3.01532041997216,3.04217914460196,4.75174422867097,1.32496491803976,1.9467561567421
2067,1.85213559449721,2.8461080955889,1.68037641334823,1.62211280453433,2.14787999120891,2.09533941525334,1.92049118594008,2.58910600866019,2.96507096169974,2.2323694239692,3.40881550536326,2.95915783389636,3.00199615349503,4.67437030156336,1.32945518317898,1.9503347088107
2068,1.86036077110948,2.80038019656702,1.69276279889604,1.59232752045155,2.14259833455026,2.06070996559681,1.92715157805693,2.54997498939863,2.9097148134471,2.20559202523725,3.34385450248716,2.90299524782056,2.9618131623881,4.59699637445575,1.33394544831819,1.9539132608793
2069,1.86858594772175,2.75465229754514,1.70514918444385,1.56254223636878,2.13731667789161,2.02608051594027,1.93381197017378,2.51084397013706,2.85435866519445,2.1788146265053,3.27889349961106,2.84683266174476,2.92163017128118,4.51962244734814,1.33843571345741,1.9574918129479
