"year","ANZ","CAM","CAN","CHI","EEU","FSU","JPK","LAM","MAF","MDE","SAS","SEA","SIS","SSA","USA","WEU"
2015,1.55968345856179,1.09592076818716,1.08392739701506,0.289656535815741,-0.033764326038499,0.0457864447410472,0.0673314296734784,0.871991765195457,1.30624892490143,1.79076569775691,1.23112797203027,0.93836174399311,0.555404062963083,2.17330981472654,0.813565275148087,0.474386093299217
2016,1.53448257461346,1.05079881968599,1.08485108012886,0.264069556999837,-0.0383577728436202,0.0297833797078106,0.0484774640760932,0.835631040579674,1.2599770888496,1.71950428724605,1.19245873592037,0.902340039391123,0.524557512738366,2.13623995498066,0.815259240584401,0.459943944693983
2017,1.50928169066513,1.00567687118482,1.08577476324266,0.238482578183934,-0.0429512196487414,0.0137803146745741,0.029623498478708,0.799270315963891,1.21370525279776,1.6482428767352,1.15378949981047,0.866318334789136,0.493710962513649,2.09917009523477,0.816953206020714,0.44550179608875
2018,1.4840808067168,0.960554922683641,1.08669844635646,0.21289559936803,-0.0475446664538626,-0.00222275035866248,0.0107695328813229,0.762909591348109,1.16743341674592,1.57698146622434,1.11512026370057,0.830296630187148,0.462864412288932,2.06210023548889,0.818647171457028,0.431059647483516
2019,1.45887992276847,0.915432974182466,1.08762212947026,0.187308620552127,-0.0521381132589838,-0.018225815391899,-0.0080844327160623,0.726548866732326,1.12116158069409,1.50572005571348,1.07645102759067,0.794274925585161,0.432017862064216,2.02503037574301,0.820341136893341,0.416617498878282
2020,1.43367903882015,0.870311025681292,1.08854581258406,0.161721641736223,-0.056731560064105,-0.0342288804251356,-0.0269383983134475,0.690188142116543,1.07488974464225,1.43445864520262,1.03778179148077,0.758253220983174,0.401171311839499,1.98796051599712,0.822035102329655,0.402175350273049
2021,1.41289689347377,0.830647488279483,1.07811608007345,0.12956826773689,-0.0637320739139957,-0.0508214463245626,-0.0427295667669858,0.658552703203275,1.02704135455268,1.38582061041297,1.00062227404749,0.721442222287574,0.372141040050806,1.94687220234552,0.817730339785516,0.399093982652614
2022,1.39211474812739,0.790983950877675,1.06768634756284,0.0974148937375574,-0.0707325877638865,-0.0674140122239897,-0.0585207352205241,0.626917264290006,0.97919296446312,1.33718257562332,0.963462756614208,0.684631223591974,0.343110768262114,1.90578388869392,0.813425577241378,0.39601261503218
2023,1.37133260278102,0.751320413475867,1.05725661505223,0.0652615197382245,-0.0777331016137772,-0.0840065781234167,-0.0743119036740625,0.595281825376737,0.931344574373556,1.28854454083367,0.926303239180926,0.647820224896374,0.314080496473421,1.86469557504231,0.80912081469724,0.392931247411745
2024,1.35055045743464,0.711656876074058,1.04682688254162,0.0331081457388915,-0.084733615463668,-0.100599144022844,-0.0901030721276008,0.563646386463468,0.883496184283992,1.23990650604402,0.889143721747643,0.611009226200774,0.285050224684729,1.82360726139071,0.804816052153101,0.389849879791311
2025,1.32976831208826,0.67199333867225,1.03639715003101,0.000954771739558602,-0.0917341293135587,-0.117191709922271,-0.105894240581139,0.532010947550199,0.835647794194427,1.19126847125437,0.85198420431436,0.574198227505174,0.256019952896036,1.78251894773911,0.800511289608963,0.386768512170876
2026,1.30256325382345,0.634382804018738,1.01779048446003,-0.0309385669326412,-0.102848868185483,-0.130406872578579,-0.119126270362835,0.49992608431304,0.79336306075724,1.1500396708987,0.815442785711187,0.538536272060184,0.225783608846664,1.73641957644981,0.789630893721234,0.382131635055942
2027,1.27535819555863,0.596772269365227,0.999183818889056,-0.062831905604841,-0.113963607057408,-0.143622035234887,-0.132358300144531,0.467841221075882,0.751078327320052,1.10881087054303,0.778901367108014,0.502874316615194,0.195547264797291,1.69032020516051,0.778750497833505,0.377494757941008
2028,1.24815313729381,0.559161734711715,0.980577153318078,-0.0947252442770408,-0.125078345929333,-0.156837197891195,-0.145590329926226,0.435756357838724,0.708793593882864,1.06758207018737,0.74235994850484,0.467212361170204,0.165310920747919,1.64422083387121,0.767870101945776,0.372857880826074
2029,1.220948079029,0.521551200058203,0.961970487747101,-0.126618582949241,-0.136193084801257,-0.170052360547504,-0.158822359707922,0.403671494601565,0.666508860445676,1.0263532698317,0.705818529901667,0.431550405725214,0.135074576698546,1.59812146258191,0.756989706058047,0.36822100371114
2030,1.19374302076418,0.483940665404692,0.943363822176124,-0.15851192162144,-0.147307823673182,-0.183267523203812,-0.172054389489618,0.371586631364407,0.624224127008488,0.985124469476029,0.669277111298494,0.395888450280224,0.104838232649174,1.55202209129262,0.746109310170318,0.363584126596206
2031,1.17351810826627,0.456391779395662,0.92664475605333,-0.185993195143526,-0.156702328743439,-0.184650708607776,-0.184148119065286,0.34785850671132,0.599924255892983,0.960053292285639,0.644920231713635,0.370109717141558,0.0839538597732226,1.52308698919982,0.736037398620462,0.360552468292119
2032,1.15329319576836,0.428842893386632,0.909925689930535,-0.213474468665611,-0.166096833813696,-0.186033894011741,-0.196241848640955,0.324130382058234,0.575624384777478,0.934982115095249,0.620563352128776,0.344330984002892,0.0630694868972714,1.49415188710703,0.725965487070606,0.357520809988032
2033,1.13306828327044,0.401294007377602,0.893206623807741,-0.240955742187696,-0.175491338883953,-0.187417079415706,-0.208335578216623,0.300402257405148,0.551324513661973,0.909910937904859,0.596206472543916,0.318552250864226,0.0421851140213203,1.46521678501424,0.71589357552075,0.354489151683945
2034,1.11284337077253,0.373745121368572,0.876487557684946,-0.268437015709782,-0.18488584395421,-0.188800264819671,-0.220429307792291,0.276674132752062,0.527024642546468,0.884839760714469,0.571849592959057,0.29277351772556,0.0213007411453692,1.43628168292145,0.705821663970894,0.351457493379859
2035,1.09261845827462,0.346196235359542,0.859768491562152,-0.295918289231867,-0.194280349024467,-0.190183450223635,-0.23252303736796,0.252946008098975,0.502724771430962,0.859768583524079,0.547492713374198,0.266994784586894,0.000416368269418044,1.40734658082866,0.695749752421038,0.348425835075772
2036,1.07849344594109,0.317467655979948,0.84957551622006,-0.325458065631938,-0.199387976177825,-0.193524886630767,-0.243989599897925,0.227898324188129,0.479579955453415,0.832062876120414,0.520813369405291,0.238937259523335,-0.0236234685093195,1.37371642959169,0.685452130865287,0.346056009494111
2037,1.06436843360756,0.288739076600355,0.839382540877969,-0.35499784203201,-0.204495603331183,-0.196866323037899,-0.255456162427889,0.202850640277283,0.456435139475868,0.804357168716749,0.494134025436384,0.210879734459777,-0.0476633052880571,1.34008627835473,0.675154509309537,0.343686183912451
2038,1.05024342127404,0.260010497220762,0.829189565535877,-0.384537618432081,-0.209603230484541,-0.20020775944503,-0.266922724957854,0.177802956366437,0.433290323498321,0.776651461313085,0.467454681467476,0.182822209396218,-0.0717031420667946,1.30645612711776,0.664856887753786,0.34131635833079
2039,1.03611840894051,0.231281917841168,0.818996590193786,-0.414077394832153,-0.214710857637899,-0.203549195852162,-0.278389287487819,0.152755272455591,0.410145507520774,0.74894575390942,0.440775337498569,0.15476468433266,-0.0957429788455322,1.27282597588079,0.654559266198036,0.338946532749129
2040,1.02199339660698,0.202553338461575,0.808803614851694,-0.443617171232225,-0.219818484791257,-0.206890632259293,-0.289855850017784,0.127707588544745,0.387000691543227,0.721240046505756,0.414095993529662,0.126707159269102,-0.11978281562427,1.23919582464382,0.644261644642286,0.336576707167469
2041,1.00869136753376,0.173975611487251,0.801320646991281,-0.472191940517921,-0.224985278085998,-0.21814174965501,-0.300752914440594,0.103033001034807,0.36120638975929,0.688914623960843,0.386925536684197,0.0976453045177639,-0.143299137951511,1.20220620653826,0.631793493522874,0.33107798907404
2042,0.995389338460533,0.145397884512928,0.793837679130869,-0.500766709803617,-0.23015207138074,-0.229392867050726,-0.311649978863404,0.0783584135248683,0.335412087975353,0.656589201415931,0.359755079838733,0.0685834497664262,-0.166815460278753,1.16521658843269,0.619325342403463,0.325579270980612
2043,0.982087309387309,0.116820157538604,0.786354711270456,-0.529341479089314,-0.235318864675482,-0.240643984446443,-0.322547043286214,0.0536838260149297,0.309617786191416,0.624263778871019,0.332584622993268,0.0395215950150885,-0.190331782605995,1.12822697032713,0.606857191284051,0.320080552887183
2044,0.968785280314086,0.0882424305642804,0.778871743410043,-0.55791624837501,-0.240485657970224,-0.251895101842159,-0.333444107709024,0.0290092385049912,0.283823484407479,0.591938356326107,0.305414166147804,0.0104597402637507,-0.213848104933236,1.09123735222156,0.59438904016464,0.314581834793755
2045,0.955483251240863,0.0596647035899567,0.771388775549631,-0.586491017660706,-0.245652451264966,-0.263146219237875,-0.344341172131835,0.00433465099505259,0.258029182623543,0.559612933781195,0.278243709302339,-0.018602114487587,-0.237364427260478,1.054247734116,0.581920889045229,0.309083116700326
2046,0.940242500747668,0.0326864498930135,0.76277977082194,-0.613707184205972,-0.253323321382324,-0.279862274796272,-0.354905173779307,-0.0209156212636219,0.229728013511759,0.525685904471977,0.249763132672909,-0.0470925305588343,-0.261614701337181,1.01828466990109,0.572441274555073,0.300393588213117
