"","year","emissions"
"513","2462",9420.69346093317
"514","2463",9420.69346093317
"515","2464",9420.69346093317
"516","2465",9420.69346093317
"517","2466",9420.69346093317
"518","2467",9420.69346093317
"519","2468",9420.69346093317
"520","2469",9420.69346093317
"521","2470",9420.69346093317
"522","2471",9420.69346093317
"523","2472",9420.69346093317
"524","2473",9420.69346093317
"525","2474",9420.69346093317
"526","2475",9420.69346093317
"527","2476",9420.69346093317
"528","2477",9420.69346093317
"529","2478",9420.69346093317
"530","2479",9420.69346093317
"531","2480",9420.69346093317
"532","2481",9420.69346093317
"533","2482",9420.69346093317
"534","2483",9420.69346093317
"535","2484",9420.69346093317
"536","2485",9420.69346093317
"537","2486",9420.69346093317
"538","2487",9420.69346093317
"539","2488",9420.69346093317
"540","2489",9420.69346093317
"541","2490",9420.69346093317
"542","2491",9420.69346093317
"543","2492",9420.69346093317
"544","2493",9420.69346093317
"545","2494",9420.69346093317
"546","2495",9420.69346093317
"547","2496",9420.69346093317
"548","2497",9420.69346093317
"549","2498",9420.69346093317
"550","2499",9420.69346093317
"551","2500",9420.69346093317
"552","2501",9420.69346093317
"553","2502",9420.69346093317
"554","2503",9420.69346093317
"555","2504",9420.69346093317
"556","2505",9420.69346093317
"557","2506",9420.69346093317
"558","2507",9420.69346093317
"559","2508",9420.69346093317
"560","2509",9420.69346093317
"561","2510",9420.69346093317
"562","2511",9420.69346093317
"563","2512",9420.69346093317
"564","2513",9420.69346093317
"565","2514",9420.69346093317
"566","2515",9420.69346093317
"567","2516",9420.69346093317
"568","2517",9420.69346093317
"569","2518",9420.69346093317
"570","2519",9420.69346093317
"571","2520",9420.69346093317
"572","2521",9420.69346093317
"573","2522",9420.69346093317
"574","2523",9420.69346093317
"575","2524",9420.69346093317
"576","2525",9420.69346093317
"577","2526",9420.69346093317
"578","2527",9420.69346093317
"579","2528",9420.69346093317
"580","2529",9420.69346093317
"581","2530",9420.69346093317
"582","2531",9420.69346093317
"583","2532",9420.69346093317
"584","2533",9420.69346093317
"585","2534",9420.69346093317
"586","2535",9420.69346093317
"587","2536",9420.69346093317
"588","2537",9420.69346093317
"589","2538",9420.69346093317
"590","2539",9420.69346093317
"591","2540",9420.69346093317
"592","2541",9420.69346093317
"593","2542",9420.69346093317
"594","2543",9420.69346093317
"595","2544",9420.69346093317
"596","2545",9420.69346093317
"597","2546",9420.69346093317
"598","2547",9420.69346093317
"599","2548",9420.69346093317
"600","2549",9420.69346093317
"601","2550",9420.69346093317
"602","2551",9420.69346093317
"603","2552",9420.69346093317
"604","2553",9420.69346093317
"605","2554",9420.69346093317
